id_vict,x,y,sobr,tri
319,75,93,0.78,1
313,73,88,0.09,3
322,77,85,0.19,3
323,77,87,0.27,3
324,78,84,0.19,3
315,74,83,0.94,0
308,72,77,0.24,2
306,70,75,0.01,3
317,75,76,0.78,1
318,75,77,0.94,0
330,81,76,0.81,1
326,79,71,0.78,2
376,84,60,0.96,0
405,91,56,0.95,1
404,91,53,0.17,3
403,91,51,0.04,3
402,79,52,0.04,3
278,77,38,0.9,1
283,79,46,0.23,3
302,90,42,0.66,2
297,88,37,0.95,1
304,92,28,0.17,3
301,90,20,0.96,0
300,90,12,0.42,2
290,84,8,0.91,1
298,89,12,0.79,1
390,62,49,0.86,1
228,58,41,0.94,0
230,59,39,0.72,1
266,73,41,0.01,3
400,75,53,0.24,3
397,68,48,0.98,0
394,66,50,0.9,1
395,67,52,0.62,2
392,63,56,0.93,0
353,61,59,0.92,1
331,83,71,0.56,2
336,86,75,0.25,2
338,87,77,0.78,1
332,83,82,0.86,2
339,87,81,0.75,1
341,88,81,0.32,2
342,88,88,0.13,3
340,87,90,0.17,3
337,86,87,0.06,3
344,91,81,0.08,3
345,91,82,0.48,2
346,92,77,0.52,2
347,93,70,0.73,1
343,91,70,0.91,0
378,93,59,0.05,3
407,93,57,0.73,2
292,87,43,0.91,1
305,92,40,0.9,0
296,88,35,0.22,3
295,88,34,0.36,2
294,88,33,0.86,1
293,88,28,0.84,1
299,89,27,0.63,2
291,86,14,0.92,0
289,86,13,0.85,2
303,92,11,0.78,1
