id_vict,x,y,sobr,tri
184,38,49,0.97,0
187,39,51,0.78,2
185,38,51,0.1,3
178,36,56,0.95,0
177,36,51,0.19,2
173,35,59,0.05,3
172,34,59,0.91,0
189,39,62,0.83,1
196,43,72,0.14,3
179,36,68,0.04,3
168,31,68,0.47,2
174,35,72,0.56,0
180,36,75,0.92,0
190,39,76,0.09,3
175,35,77,0.59,2
171,33,81,0.95,2
181,37,80,0.22,2
195,42,76,0.7,2
164,28,83,0.93,1
165,28,84,0.83,1
162,25,83,0.96,1
140,16,79,0.28,2
134,12,76,0.62,2
119,4,76,0.08,3
108,1,79,0.81,1
128,9,70,0.67,2
132,10,69,0.89,1
138,15,71,0.93,0
137,15,70,0.89,0
118,4,66,0.23,2
112,2,67,0.95,0
111,2,66,0.8,1
146,18,59,0.91,0
110,2,62,0.88,1
125,6,58,0.29,2
117,4,58,0.87,1
120,5,50,0.2,3
109,2,47,0.18,2
115,4,51,0.35,2
103,0,73,0.99,0
104,0,74,0.68,2
142,17,76,0.06,3
148,18,78,0.97,0
154,21,77,0.37,2
160,24,84,0.72,2
161,25,89,0.24,2
166,29,85,0.2,3
183,37,93,0.95,0
383,52,90,0.01,3
385,53,88,0.44,2
388,55,87,0.97,1
